"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-01","1995","01","01","","2.5","","-1.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-02","1995","01","02","","2.5","","-1.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-03","1995","01","03","","4.0","","-1.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-04","1995","01","04","","4.0","","-1.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-05","1995","01","05","","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-06","1995","01","06","","5.0","","-1.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-07","1995","01","07","","9.0","","-2.0","","3.5","","14.5","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-08","1995","01","08","","9.0","","4.0","","6.5","","11.5","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-09","1995","01","09","","11.0","","4.5","","7.8","","10.2","","0.0","","5.4","","0.0","","5.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-10","1995","01","10","","10.0","","6.0","","8.0","","10.0","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-11","1995","01","11","","8.0","","4.0","","6.0","","12.0","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1995-01-12","1995","01","12","","7.0","","5.0","","6.0","","12.0","","0.0","","19.0","","0.0","","19.0","","0","","","","",""
